NCEI id,County,State,Datetime,WFO,Comment,Evidence
1151841,,SC,2024-01-09T19:11:00,ILM,Waterspout time is incorrect. Should be 20:11Z,
1159879,Evans,GA,2024-01-09T18:43:00,CHS,Track is backwards,
,St. Lucie,FL,2024-01-15T22:37,MLB,Tornado reported and videos received on social media of a tornado on the ground west of I95,
,Sonoma,CA,2024-02-01T19:11,MTR,Video shows tornado near Two Rock,
1163222,Haskell,TX,2024-02-03T05:12,SJT,Time in entry is in UTC. Start time should be 23:12Z. Additionally storm chaser footage shows the tornado continues roughly 5 miles further NE than what SJT surveyed,
,Haskell,TX,2024-02-02T23:31,SJT,Another tornado formed north of the dissipating EF2 tornado as shown on storm chaser videos,
1161485,Broward,FL,2024-02-18T20:55,MFL,Track may be backwards?,
1197546,Broome,NY,2024-02-28T22:20:00,BGM,Original survey has this tornado as an 100 mph EF1,
,Umatilla,OR,2024-03-05T19:00,PDT,At least one landspout observed,
,Putnam,OH,2024-03-05T19:29,IWX,EF0 landspout tornado surveyed,
1168736,Macoupin,IL,2024-03-14T12:56,LSX,Possible typo in time. LSR has 12:56Z which better matches the leading edge of the QLCS and velocity couplet occurrence,
1176014,Breckinridge,KY,2024-03-14T15:32,OHX,Time and date are incorrect. Should be 03:32Z 3/15,
1168223,Pueblo,CO,2024-03-26T23:35,PUB,Time is likely incorrect. Original LSR has a time of 22:35Z and better correlates with a storm in that area on radar. End time is also incorrect if narrative is correct saying it lasted 2 or 3 minutes,
1169616,Lincoln,WA,2024-03-27T00:45,OTX,Possible time is incorrect. Original LSR has time at 23:50Z instead,
1172705,West Feliciana,LA,2024-04-10T07:13,LIX,"There were at one point three tornadoes surveyed near Bains. One was excluded (perhaps by error) that moved through Bains from the SW and a satellite ground mark is evident along that path. This entry is for the hand-off that occurred just east of the tornado that started near Morganza, however the start position of this tornado is at the end of the removed tornado path and not in the correct location of where the DAT survey has the start.",
1178254,St. Tammany,LA,2024-04-10T15:01,LIX,"Width of this tornado was 350 yards in the original survey, however even that seems incorrect with the DAT survey EF0 polygon width being over 1,000 yards wide. Perhaps it should be 1,200 yards wide instead?",
1178283,Hancock,MS,2024-04-10T15:23,LIX,Duplicate entry of 1172764,
1172021,Henry,IA,2024-04-16T21:34,DVN,Start location is misplaced from the surveyed path. End location of 1172019 also incorrect,
,Salt Lake,UT,2024-04-25T17:07,SLC,Landspout tornado reported and confirmed by numerous photos and videos,
